conf,ts,HC1,HC2,,consumer_no,Uncertainties
1076069_1274125_configuration.json,59,277.6097348,277.6097348,,74,7
1076069_1274129_configuration.json,59,104.8018313,104.8018313,,11,4
1076069_1274131_configuration.json,59,107.7609925,107.7610023,,22,4
1076069_2354896_configuration.json,59,15.00000015,15.00000015,,1,2
1076069_2354903_configuration.json,59,45.00000044,45.00000044,,3,3
1076109_1251039_configuration.json,57,265.4959575,265.4959575,,62,8
1076109_1251041_configuration.json,59,134.4765621,134.4765621,,14,4
1076109_1251045_configuration.json,45,389.2435247,389.2435247,,129,7
1076128_1246490_configuration.json,56,232.7649138,232.7649138,,49,8
1076128_1246495_configuration.json,59,265.5822028,265.5822028,,50,6
1076128_1246503_configuration.json,59,0,0,,0,1
1076128_1246505_configuration.json,59,15.00000015,15.00000015,,1,2
1076128_1246507_configuration.json,59,0,0,,0,1
1076128_1246510_configuration.json,45,390.9865881,390.625111,,106,8
1132967_1400848_configuration.json,45,386.052105,385.7473056,,86,7
1132967_1400862_configuration.json,59,180.0000018,180.0000018,,12,4
1132967_1400879_configuration.json,59,45.00000044,45.00000044,,3,2
1132967_1400881_configuration.json,59,208.9001315,208.9001315,,23,6
1132967_1400888_configuration.json,59,209.4235954,209.4235954,,29,5
1132967_1400910_configuration.json,45,371.5514467,353.8616967,,80,9
1132967_1400916_configuration.json,59,120.0000012,120.0000012,,8,3
1132967_1400951_configuration.json,59,130.2209571,130.2209571,,13,3
1136039_1464991_configuration.json,59,0,0,,0,1
1136039_1464994_configuration.json,45,195.7211306,195.7211306,,96,6
1136039_1464997_configuration.json,59,0,0,,0,1
1136039_1465000_configuration.json,59,186.8243223,186.8243223,,46,6
1136039_1465006_configuration.json,59,30.00000029,30.00000029,,2,3
1136039_1465008_configuration.json,59,0,0,,0,1
1136042_1440533_configuration.json,59,211.4325842,211.4325842,,18,4
1136042_1440535_configuration.json,59,165.3353231,165.3353231,,18,6
1136042_1440537_configuration.json,45,389.8856307,389.8642473,,153,8
1136042_1440539_configuration.json,45,381.7749701,381.6345771,,59,6
1136042_1440548_configuration.json,59,45.00000044,45.00000044,,3,4
1136042_1440552_configuration.json,59,0,0,,0,1
1136056_1450251_configuration.json,59,15.00000015,15.00000015,,1,2
1136056_1450254_configuration.json,45,367.8859183,356.3722815,,73,8
1136056_1450257_configuration.json,59,0,0,,0,1
1136056_1450260_configuration.json,59,133.9488903,133.9488903,,24,4
1136056_1450263_configuration.json,45,350.6256607,350.5079486,,66,6
